comments,emoji
Miss u kk sir  Any one dec 2024 very very nice song,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
I love sorojit biswas editing️️,❤❤🙏🏼🙏🏼
Fav,💓
Evergreen kk,❤
Wow kk song,❤
Any one in dec,😅
Anyone in 2025,🍂
KK.... miss you man....wish to see you again...inshallah..,❤
Dec.13. 2024,❤❤
Please comeback Sir,😢
Anyone here in December,❤❤
Amanlifewan,🎉
December 2024,❤
miss you,😭😭😭😭😭
miss you always RIP,❤❤❤❤❤❤🙏
Oii,😊😊
So nice song,❤
Who is listening in January 2025 ?,❤😊
Anyone is December,❤
k...k ....,❤❤❤
Dear my love I miss you & love you mery jan I miss you a lot by any time any whear,❤
Who is listening today ?????,😺😺
Who is listening in December 2024,❤❤❤
MISS YOU KK,❤❤😢😢
Who is listening on year,🎉❤
Who is listening in February 2025,😂😂
Out of control sir kk,❤❤
I m listening in DEC. 2024 🥰🥰,😍💘💘💘💞💞💞
6 December,🖤
Who is listening in December 2024?,❤
"December 3 , 01::38 Am... Anyone 🫂",🖐🏼
Anyone in December,😅😅
January 2025,❤
My best & favorite singer,❤❤❤❤
ko,😮
December 2024,❤
Who is listening in December,😢
Thank you KK,❤❤❤❤😢❤❤❤❤
I love this song,❤❤❤😢
Who is listening in December 2024,😊❤
"I am Listening in December 2050 
Any problems who commented,,,,who Listening in 2024",🎉🎉
RIP  SIR KK,😢😢😢😢😢😢😢😢
Woah perfect outstanding performance,👌👌👌👌💕💕💕💕
Who is listening in December in 2024,😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊
all time favourite,❤
"My....Dekio.....,🫶.....,🥺",💔
Love you KK....u were and still are the greatest singer ! Ur humility and simplicity are truly unique,😍
Any one today,😊
AAA class  may Allah (the most merciful) bless ur soulld KK.,❤❤
Nice song,🎵🎵🎵
Nice song,🎵🎵🎵
KK ..forever in our hearts,❤😢
24th November,❤
Anyone hearing 23/11/2024,❤
Great Singer,🙏
nmaste,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
"I am  BOy Riju 
I Hearing this song now",❤❤
Sir Miss you your songs are heart touching n my favourite....I feel you are a great person,❤❤
November 2024,🎉
Legend ♥️,🙏
Kk  I Miss you song,❤
Who is listening in November 2024? ♥️♥️,😍
I miss you kk sir,😢😢
"ഇദ്ദേഹം ഇപ്പൊ ജീവനോടെ ഇല്ല ഇന്ന കാര്യം വിശ്വസിക്കാൻ കഴിയുന്നില്ല ....
കൃഷ്ണകുമാർ കുന്നത്ത് 🥰 KK",😢
Who is Kk Lover    🤟,😢💔👀
Who is listening in November 2024,❤
Nice  song,👍
Who listening in 2025  this masterpiece,👀✨😥
I love you mister Shah Rukh Khan ji☹,😞😢😭😭😭😭😭😭😭😭😭😭😭😭
Who is listening in November 2k24?️,❤😌
Legend- KK Sir,😢😥😭😭😭😭😭
November Wale present deke jana,😅
November,❤
"KK the soul voice + Imran Hashim
gem🥹",👌
Iam listening November 2024,😊
Beautiful soulful voice,😊
21:24 labon ko it's my favourite,❤
May fevret songs,❤❤❤❤❤❤❤
Who is listening in Nov 2024?,😊
November 2024,❤
Who is listening in November 2024?,😊
Who listening in november 2024,❤
"10 November 2024 

Good morning",❤❤❤❤❤❤🌅🌄
Me also 2024....,😂
My favorite singer l miss your voice so badly,❤❤❤❤❤❤
Who is listening in Nov-2025,❤
"1l0/
  1",❤
"Who says K.K is no more .

He is forever live in Everyone's Hearts....",😢❤
"(\_/)
( •.•)
(>I love this song",❤
Who is listening  in November 2024 .,🎧
Kk,❤❤❤❤
KK ️,❤
My favourite singer ️️,❣❣
Who is hear after November 2024,❤
"Who is listening in  6 November , 2024 ?",💜
Kk,😢
November 5,😢
Best,❤
In November 2024 Anyone,❤
K  kkja..,😊
Who is listening in November 2024 🥺🫶,😌
I am here,❤
K.K. Lovers,❤❤
41:49 Goosebumps guaranteed,❤
Who is listening in November 2024,❤❤❤
Who is listening in November 2024,❤🎉
Listening in Nov 2024,😅
Who all listening in November 2024?,😌
November 1 st 2024...,❤❤❤
Who is listening in Nov 2024 ?,😊
Who is listening in November 2024 ?,❤
Who is listening in November 2024 ?,😊
Who is listening in November 2024,❤
My favorite kg ripbut legend is not rip God bless,😢🎉❤
Missing the legend childhood was great bcz of u kk  October 2024,❤❤
You and me babu,❤❤❤❤
Kk will  forever in our ️ heart..king  of music,❤👑🎵
خدا جانے سونگ سپر ہٹ سونگ  آئ لو کے کے وائس سپر وائس کےکے ۔,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
5:02 kabristan‍♂️,🙋🏻
Anyone Here,😅
Wht a  wonderful  song ..kk sir,👌👌💔💔💔
Oct 27/2024.....,💔
What a song wonderful,🎉🎉🎉
9:40 the point ⚡,🔥
"pquotqlaalaqaaqlqqaqqlqqaqqqlqqlqqqqqqquotqlaalaqaaqlqqaqqlqqaqqqlqqlqqqqqqaaaqqqaqlqqqqqalqqqqqqqqqqqqqqq
Qqqqqqqaqqqqaqqqqqqqqqqqqqqqaqqqaqqaqqaqqqqqqqqqqqqlqqqqqqqqaqqqqqq
Lqqq",😊😊😊
Miss u kk sir,😢❤
Missing you too dear s,😢❤
Kk ️️ iiiiii,❤❤😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢
U r alive sir in our  hearts,💕
October wale attendance lagao,❤❤
i love this song  and love you  sir,❤❤💗😘❤
Who is listening  in jan 25 ??,❤
Anyone from the Future ?,😮
23 October 2024 11:46pm,😅
english ke chode,😂
I  your voice,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Isong,❤
Who Is listening in after 22 October? ️,❤
Relaxing  ☺,😌❤
5:40 is best in morning,🌅
Very nice song ️️️️️,❤❤❤❤❤
I miss you KK,❤
Who is the listening in November,😊❤
One of favourite singer,❤
Who is listening in November 2024,😅😂
Love you KK,❤
I love kk songs 2024 .11.20,❤
October 19,😍
Fill,❤❤❤
Blessed,❤
His voice is such a therapy RIP KK,😢
Love this voice,❤
Kk sir,❤❤
Oct 17 ️,❤😉
Who is listing in December 2070,😂😂
Me I love kk song very much,❤❤❤❤❤❤❤❤
Nice,👍
Wow1:01 am 17th October,🎉🎉
"Night at 2.00 am.
Just feel these song",❤❤
Who is listening in November 2024,😅
Kk n emran chartbuster duo of the bollywood,❤
Fil this song,😊😊
"It's me,I really love the song of KK,so beautiful ️️",❤❤
eternal...,❤❤❤❤❤❤❤
co cute,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Tomar gan amar khub valo Lagachaaro gan diba amaka co cute,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Who is listening in October 14,💕
Who is listening in October 14,💕
Legend legend,❤
14 Oct 2024 10:09 AM,❤
All time Favorites song ...,❤❤❤
Beete lamhain,❤
KK,💔💔💔
oct 2024,😢
Hamid,😅
KK Sir,😭🙏
Superb,❤
Me from bhop,🎉
11october 2k24,❤
I am enjoy my break up with cigratte and kk,😢
October 11,😅
10th October,❤
I am heart touching kk miss you,💕💕😊💖💖
10th October 2024,❤
kk sir,❤❤❤❤❤❤❤❤
6:27 is best,❤
Woooooooooooowwwwww  What A Lovely Songs Thank You So Much 🥰️,😍❤
Legend never be die....,🙏🙏
October 9 2024 It's 1:51am,❤
Always favourite kk sir,❤
Never explain this voice,❤❤
These songs are masterpiece..,🖤🖤🖤
", I love. you",❤
"এই সিঙ্গার টা কি মানুষের মধ্যে পড়ে ?
এনি ভগবানের দূত না স্বয়ং ভগবান জানি না",❤
7th October,❤❤
So touched your voice sir,❤❤❤❤❤❤❤❤
Kk is god ️,❤
best 10,❤
Who is listening in October 2024 ? ️,😊❤
6th october 2024,❤❤
Kk sir salute,❤❤
Listening from Dinosaurs age ‍,😵💫
Who is here at 20230,😅😅
Who is listening in October 2k24?♥️,👉
BULBUL,❤❤😂😂🎉🎉🎉🎉
5 Oct 2k24,❤
I love kk song,🎉🎉🎉❤❤❤
5 October (2024),😖😖
I really heartbroken play kk sir  this song top 10,😢
4 october 2024,🎧
who is listening in October 2024,💓
October 2024 anyone?,😅❤
Listening this at 2 o clock,😢
Who is listening in October 2024??,❤
Kk is in our heart always ️️️️️️,❤❤❤❤❤❤
3Rd of October 2024 ️️️️️️,❤❤❤❤❤❤
M,😅
Kk,❤
Kk will never die ️️️,❤❤❤
best of kk,❤❤
2 October from midnapore,❤
Who is listening in November 2024?,❤
K k is always best 🥰,❤✨
Kk sir always in my heart ️,❤
listening in 2024 october 1/2 regularly,❤❤❤
Love you  sir,❤
KK will always be remembered in our hearts,❤❤
Who is listening in October 2024 ?,😌
song,❤❤❤❤
Miss you The Legend KK forever,😢😢😢😢
Who is listening in October 1 2024??,❤
1 oct 2024,😅😅
....h,😅
We miss you sir️️,❤❤
October 2024 wale like kro,❤
1 oct 2024 attendance,😂
Literally listening at 3 am  luvv ittt,❤
Who is listening  in September 30  / 2024,🎧🎧
Kk,❤
Just beautiful ️️️ RIP KK Sir,❤❤❤🌹🌹🌹
One of the fav singer ️,👍❤
We miss you kk sir,😢
Anyone listening in October,❤
Who is listening in 2050  14:25,😂
Who is listening in December 2060,😅
ME,✌
Miss you kk,😢
Sep 29.9.2024,❤
I laket song,❤
My favourite ️,❤
28 September 2024,❤
Who is listening in September 2024 ??,❤
Ever green collection,❤
Op Bai,❤❤❤❤
I am listening today . 28 sep 2024. ️,❤
29spt. 2024,😃😊
Anyone listen today,❤
28 September 2024,❤❤❤
Kk always best,❤❤❤
Today 28 September 2024,❤❤❤❤❤❤❤😢
28/09/2024..12.28 am,😂
Love songe  k k is best,❤
27 September 2024,❤
We,❤
yes I am,😥😢
nice,💔
12:58 ( koih be asa lamha nehi he)   (27 September 2024),😑
Who is listing in 26 sept 2024,❤❤❤
So touched your voice sir,❤
Me  in sep 26 best albums pura past yad aa gyaa,❤
"How many are listening on 6 sep.  
We miss u legend 🥺
Your songs are like heaven to us",❤💓😍
I am in Love this song so touching,😢😢❤❤
26 September 2024 from Bangladesh,❤
"Kk sir's high notes are tremendous
He is not just singing,he feels from his heart,that's why it makes him special
At 21:54 shows his world's best class",❤❤❤
Supr i miss you,❤❤❤❤❤😢😢😢😢❤❤❤❤❤❤❤😘😘❤😘😘❤😘😘😘😘❤
Who is listening  today's night..25-09-24,🎧
It's 25th September,🎉
Who is listening this on 2090,❤❤
Who is listening this song in  25 September 2024🤌,💕
Me 25 sep  at 6.0 clock in the morning,😢
Me and my jot,❤🎶💕
Memories,❤
24 september 2024 + trauma+wine in hand+some memories,😅
Sep.24.2024.,❤❤❤❤🎉🎉
KK Voice,❤
I love you  my love,😘😘💟
"Me,I love kk,his emotions",💞
24 September 2024,❤
23 September,😂
K.k forever,❤
"everynite at 11 to 11.20pm
absolute soul soothing..",❤
Thanks for 124 subscribers,❤❤❤
I am listening this on 23 september 2024,😊
i,😮
Who listening today this song 23September 2024?,❤❤❤❤❤😢😢
Who is listening in  24 sep 2024.,❤
Who is listening today 23 sep 2024️🫶🫵♥️,❤
Who is in 2025,😢😢
Nice voice bro,😢😢
22 sept 2024,🎧
Rest in peace kk ️,❤
Kk,💓
22 sep 2024,😊
Who is listening today 22 sep 2024,❤❤
I love kk,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Any one in September ??,❤❤
Miss you sir,💕😢😢
Wonderfull song,😊
Nice song all,🎉
Who listening in today kk songs 21 September 2024.?,❤❤😢
this song music like a magic,❤
21 sep 2024,😅
Kk,❤
Sep 21 2024 time 1:50Am,😅
I love music,❤
LEGENDS NEVER DIE,🙏🏻
p,😊
I miss you kk sir 🥺🥺,😢😢😢😭😭😭
"Sep 20,,2024",❤❤❤
ഇവിടെ മലയാളി കൾ ഉണ്ടോ,❤❤
Who is listening today 20 sep 2024,❤❤
9:14 relatable lyrics,❤
Kk is the emoshin,😢
Every weekend I came here ️,❤
"18th September 2024 1.35 am
My eyes are closed headsets are on. It's raining outside ️️ ohhhhh",🌧🌧❤❤❤😊😊😊
My dear kk sir you are awesome,😢👌
Any one 2024,😊
2024/09/17  miss you kk sir,🎧🎧😢😢😢
Miss you  @skypheral,❤
17/9/2024 Miss uhh KK,🎉❤
Basteriyaaden...,❤❤❤❤
Listen on 17th sept just mesmerizing me,❤❤
Who is listening in september 2024??,❤
Love you kk sis ️️ put so miss you sis,❣❣
16 sep 2024,❤
Perfectly natural song I love your singing KK 🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉👍🏼👍🏼👍🏼👍🏼🙏🙏🙏🎁🎁🎁🎁🎂🎁
We miss kk,😢
Respect kk sir we miss you. Always listen your songs,❤❤
Sep 16 / 24,❤
KK,❤❤😢
Sep 16 2024 12:37 pm,😢
After drinking allot of vodka,😊😊😊
Rina Dutta  in  September,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Sep/ 15/2024,❤😊
Dec /25/2024,❤❤
Sep 15 2024 KK,😓
Thanks for sharing team,😊
"RIP KK. best of singers who never used autotune., still songs u sang are legendary even now and will remain legendary forever. Most complete singer of all verses and tones. Blessed that I saw u sing alive. Salute",❤
Greater,🎉
15 sep 2024,❤❤
Sep.15 .2024🥰️,❤
12:45 long drive from Abu Dhabi to dubai with k.k songs,❤
Sep/ 15/2024,😢
September 14,❤
14 September 2024 🥺🥺🥺,❤
14 sep 2024,❤❤❤❤❤❤
Liebe leben alein,🔪❤
Sep/14/2014 at 12:50 A.M,🎉
Sep/12/2014,❤😊
I miss you Kkr,😢😢😢😢😢
13th of sep.2024️,❤
Sep 13 5:40 morning,😌
"My new songs born, of soul and fire, 
Longing to reach, your heart's desire. 
In harmony, I pour my emotions deep, 
A symphony, my spirit's secrets keep. 🤫
So lend your ear, and let the music play, 
And let my songs, your heart sway",🔥❤🎶👂
"Always favourite  voice,miss you",🙏🙏
I love you KKS,😢
September/ 12/24,❤🎉😍
2.52 pm khub miss korchi tokhe,❤😢
"Super song 
I love song",👍👍💕
Who is listening in 2030 !,😅❤
Ekdom jabardast love you,❤❤❤❤
KK miss you,❤❤
Listening  2024,🎧
Veri nice song,❤❤❤
11/sep/2024 I love kk songs..,❤😊
Date -11 sep 2024,❤❤❤❤❤
We all miss you kk,❤
love you kk‍‍‍,🏳🌈🏳🌈🏳🌈
Still in 2025 this song is  . 2025 gang like this,❤
Kk bast song,❤
10/ sep /2024,❤
Sep 10 2024,❤
Sep/10/2024,❤❤
Love you boss & miss you forever,😭😭😭
10 sep 2024,❤❤❤
"KK IS THE BEST SINGER IN MY LIFE KK U WILL BE MY FEV SINGER 
KK UR BEST 🥺🥰",💕
Super hit songs   ♥,🎵👌🏽❤😍💕
10 September  please remind me every day  it's peaceful too heard 🥺 kk song,💗💗💗💗🎵
All time hit,🎯❤❤
Sep/10/2024,❤
"When ever your every Song 
I feel so good and I relief  too tension ️ Some time imagine  Life  that I happened so something as my Life according to your Love Song️",❤😊❣😁💗❤❤
Heart touching songs of KK ️️️ miss you so much dear sir,❤❤❤🙏🏻🙏🏻🙏🏻😥😥
Sep 9 2024,❤🎉😞😔
Kk supremacy,🛐🙌🏻💕
Nice  song,🎉🎉❤❤
09/09/2024 missing this legend every single day. It's been 2 years,🙂💔
all time fav,❤
Sep 9,😢❤
Sep 9 🤟️,🏻❤
Anyone in September,❤
9sep24 2:22am missing him,❤
I love this song ️️️🥰🥰🥰🥰🥰,❤❤❤
8sep 2024 9:47 pm at TANAJIB,😢
08 September 2024,🎉
Sep /8/2024,❤🎉❤
07/sep/2024,💔
Sep  8/8/2024️,❤✨😇
we miss you,😢
Nice song of kk,❤❤
️ September 8 - 2024  miss u,❤💔
September 8/2024/1:26 pm,❤❤❤
Myy favourite songs all the time,❤😊
September 8/2024/1:16 pm,❤😊
Sep/8/2024,👍💓
September/8/2024,❤
Miss you k k sir love you,😢
He is always between us,❤🎉
Missing Dairy,😢
Sep 8/09/2024,🎉❤😍
8 September 2024,❤❤❤
I love all songs  of KK,🎵❤
"Wth I can't download this, it's a master piece ️",😑🔪🎧✨❤
Miss you sir,😢😢
Sep /7 /2024,❤🎉
Sep 7th,❤
6:03 Bost sad song ️‍🩹🥺,❤😞💔
sep 7(2024) 90$ kids only feel ‍🩹‍🩹‍🩹‍🩹,❤❤❤❤
"Sep 7, 2024",❤
Sep / 7 / 2024,❤🎉
Sep/7/24,❤😊
Sep /7/2024,❤❤
Arijit Singh is nothing in front of KK sir,❤❤❤❤❤
Sep/7/ 2024 ko kon kon sun rha,❤❤❤❤
12 Am,🙂
SEP 6,😢
"Sep-6,2024",❤❤❤
Ankit Tiwari And KK,❤❤
6/9/2024 time 8pm,🎉
Sep/6/2024,❤
All time favourite kk ️,❤
6th September,❤
Sep/6/2025,😅
🥺miss u sir sep 6 2024,❤❤😔
Sep /6 /2024 🫶,💗💗
Sep/6/2024.....,💔
Sept/6/2024,❤
Sep-6 1.47am,😌
Kk,❤😢
Sep/5/2024,💔
5 SEP,❤❤❤❤
Sep/5/2024...kk's biggest fan ever🤌,🏼😶
September 5/2024,😢😢
boys will never moved on,💔
Miss sir,😭😭😭
Sep/5 /2024,❤❤❤
Love you india and it's people from Pakistan,❤❤❤
Sep 5 she left me for no reason️‍🩹,❤
10/10 super song,❤❤❤❤❤
Spe/5/2024,🎉❤
5 sep 2024,❤
Sep/6/2024,❤
Our teen age love kk,❤
Every time favorite 🥺🥺,💔
"I love u k k sir ...I never forgot ur beautiful voice ... whenever I listen ur song I feel y u r not btwn us ,,,",❤❤😩
Sep /5 /2024,❤🎉
I miss you kk sir  song kk,😢😢😢💕
4/92024 Viwer,❤❤❤
Sep4 2024,💔
My My Swaami,❤😊
4 September,👍👍❤❤
14:09 music,❤❤
Sep/4/2024.....,💔
September/3/2024 .....,❤
3rd September 2024,❤❤
I Love  the best songs All time kk sir i miss you,💓
Miss you kk sir,😢😢
Nice songs,❤❤❤❤
"Kk+imran hashmi deadly combination.... Like for kk.. 
Comment for imran hashmi",❤🎉
Super heart  touching song,🌹❤
3sep,❤
Bollywood best singer kk couse kk song It is all about love and it is meaningful uff Its touches the heart ️,❤
I love kk onces more onces ️,❤
Kk + sukoon,👀💜
"2nd September,2024...",❤❤❤
Why you took early exit KK ?,😢
No off lithium battery,🔋
Love this song ️‍🩹,❤
Miss you KK sir,😅😅
No difference between live  song and studio racording  no difference,🎉
Amount moha kaj ly,😊
I miss you kk,❤❤❤
Legend kk,❤
Long journey & miss you k k Sir,💞😢
Wow,❤❤❤❤❤❤
"KK matalab Kadak...
Miss you Bhai..",😢
All song,❤
Super,💯👍
kk er sob gaan e valo. 9:09,❤
voice,❤❤
NO WIRDS TO EXPRESS  SIR KK. WHAT A WONDERFUL  PRESENTATION. 85DA  SO WHERE IS MY BOUDI.,😊😊❤❤
Kk is the best singer his voice is  masterpiece ♥️I love kk songs,👍🏻💫
My favourite singer  I miss you,❤❤😅😅😅
I love it KK all songs  and miss u KK,😍😢
000b,😊😊
KK Sahab you are my favourite singer. I miss you.. RIP.,❤❤
Wow,❤❤❤❤
Aug/29/2024🥰,😍
Thank you sorojit KK is my favourite singer,🙏❤❤❤❤❤
